"report","tab","page_id","visual_id","uses_managers_direct","uses_managers_total","visual_path"
"Management Report.Report","Open Pipeline List","5db374fe0e16d16471c3","386b7b24a42598c1ee80","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\5db374fe0e16d16471c3\visuals\386b7b24a42598c1ee80\visual.json"
"Management Report.Report","Open Pipeline List","5db374fe0e16d16471c3","e1cd12fdb01c810dbb96","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\5db374fe0e16d16471c3\visuals\e1cd12fdb01c810dbb96\visual.json"
"Management Report.Report","Open Pipeline Overview","7a0d99c82a8686e63554","92e515635872829e0093","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\7a0d99c82a8686e63554\visuals\92e515635872829e0093\visual.json"
"Management Report.Report","Open Pipeline Overview","7a0d99c82a8686e63554","a55f63707507ee058790","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\7a0d99c82a8686e63554\visuals\a55f63707507ee058790\visual.json"
"Management Report.Report","Pipeline Generation Overview","d1f0b4e47ec402bba0c3","6accd57e41e062204ab0","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\d1f0b4e47ec402bba0c3\visuals\6accd57e41e062204ab0\visual.json"
"Management Report.Report","Pipeline Generation Overview","d1f0b4e47ec402bba0c3","9abc44c56eb4d481ba92","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\d1f0b4e47ec402bba0c3\visuals\9abc44c56eb4d481ba92\visual.json"
"Management Report.Report","Reference Material","ReportSectionb07253efd5c64833e90c","06a56fc2492005a30330","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\ReportSectionb07253efd5c64833e90c\visuals\06a56fc2492005a30330\visual.json"
"Management Report.Report","Reference Material","ReportSectionb07253efd5c64833e90c","f513b4735d54ec29a8ab","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\ReportSectionb07253efd5c64833e90c\visuals\f513b4735d54ec29a8ab\visual.json"
"Management Report.Report","Target Leads & Accounts","0beeba5356e17846a179","ccd3abd7e0296770a0bc","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\0beeba5356e17846a179\visuals\ccd3abd7e0296770a0bc\visual.json"
"Management Report.Report","Target Leads & Accounts","0beeba5356e17846a179","d0fd9cd69da22ea8b76a","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\0beeba5356e17846a179\visuals\d0fd9cd69da22ea8b76a\visual.json"
"Management Report.Report","Users Overview","504acf60792a22e9583a","1961fb833ab0b0553e56","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\504acf60792a22e9583a\visuals\1961fb833ab0b0553e56\visual.json"
"Management Report.Report","Users Overview","504acf60792a22e9583a","63715ebb0510166e6bab","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\504acf60792a22e9583a\visuals\63715ebb0510166e6bab\visual.json"
"Strategy Report.Report","Account Executive User Role Performance","20e1a4ec81d6719c331e","946f781ef1fedd4b8f8d","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\20e1a4ec81d6719c331e\visuals\946f781ef1fedd4b8f8d\visual.json"
"Strategy Report.Report","Account Executive User Role Performance","20e1a4ec81d6719c331e","d7abc680824adcc20d0f","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\20e1a4ec81d6719c331e\visuals\d7abc680824adcc20d0f\visual.json"
