"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.ssr_history_success_rate_prospecting_inbound","0","","0","0"
"meas.ssr_history_success_rate_sply_diff","0","","0","0"
"meas.ssr_history_success_rate_untouched","0","","0","0"
"meas.ssr_history_sum_opp_cross_sale_amt","0","","0","0"
"meas.ssr_history_sum_opp_downgrade_amt","0","","0","0"
"meas.ssr_history_sum_opp_expansion_amt","0","","0","0"
"meas.ssr_history_sum_opp_nd_amt","0","","0","0"
"meas.ssr_history_sum_opp_one_time_amt","0","","0","0"
"meas.ssr_history_sum_opp_renewal_amt","0","","0","0"
"meas.ssr_history_table_row_count","0","","0","0"
"meas.ssr_history_target_abandoned_acct_count_mtd_sply_diff","0","","0","0"
"meas.ssr_history_target_abandoned_acct_count_qtd_sply_diff","0","","0","0"
"meas.ssr_history_target_abandoned_acct_count_ytd_sply_diff","0","","0","0"
"meas.ssr_history_target_acct_count","0","","0","0"
"meas.ssr_history_target_acct_count_mtd_sply_diff","0","","0","0"
"meas.ssr_history_target_acct_count_qtd_sply_diff","0","","0","0"
"meas.ssr_history_target_acct_count_ytd_sply_diff","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_mtd","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_mtd_sply","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_mtd_sply_dif","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_qtd","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_qtd_sply","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_qtd_sply_dif","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_ytd","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_ytd_sply","0","","0","0"
"meas.ssr_history_target_acct_eng_time_spent_ytd_sply_dif","0","","0","0"
"meas.ssr_history_target_acct_time_spent_mtd","0","","0","0"
"meas.ssr_history_target_acct_time_spent_mtd_sply","0","","0","0"
"meas.ssr_history_target_acct_time_spent_mtd_sply_dif","0","","0","0"
"meas.ssr_history_target_acct_time_spent_qtd","0","","0","0"
"meas.ssr_history_target_acct_time_spent_qtd_sply","0","","0","0"
"meas.ssr_history_target_acct_time_spent_qtd_sply_dif","0","","0","0"
"meas.ssr_history_target_acct_time_spent_ytd","0","","0","0"
"meas.ssr_history_target_acct_time_spent_ytd_sply","0","","0","0"
"meas.ssr_history_target_acct_time_spent_ytd_sply_dif","0","","0","0"
"meas.ssr_history_target_converted_acct_count_mtd_sply_diff","0","","0","0"
"meas.ssr_history_target_converted_acct_count_qtd_sply_diff","0","","0","0"
"meas.ssr_history_target_converted_acct_count_ytd_sply_diff","0","","0","0"
"meas.ssr_history_target_disqualified_acct_count_mtd_sply_diff","0","","0","0"
"meas.ssr_history_target_disqualified_acct_count_qtd_sply_diff","0","","0","0"
"meas.ssr_history_target_disqualified_acct_count_ytd_sply_diff","0","","0","0"
"meas.ssr_history_target_engagement_rate","0","","0","0"
"meas.ssr_history_target_filter_screen","0","","0","0"
"meas.ssr_history_target_latest_outcome","0","","0","0"
"meas.ssr_history_target_propensity","0","","0","0"
"meas.ssr_history_target_screen_step_outcome","0","","0","0"
"meas.ssr_history_target_stkhlds_tot_count","0","","0","0"
